canonical_id,sample_filename,airnet_psnr,bicubic_psnr,psnr_difference,airnet_ssim,bicubic_ssim,ssim_difference,hf_retention_ratio,airnet_gradient_energy,gt_gradient_energy,airnet_laplacian_energy,gt_laplacian_energy,detail_loss_classification,airnet_mae_residual
155,001636.npy,2.7451,18.376,-15.631,0.0142,0.4719,-0.4577,0.067999,0.00116237,0.96887934,0.0128973,0.0672641,Severe Detail Loss,0.650252
156,001638.npy,11.2295,21.3166,-10.0871,0.0668,0.7318,-0.665,0.016325,0.00116008,0.57641011,0.00237,0.06859036,Severe Detail Loss,0.186478
157,001643.npy,15.6937,31.0137,-15.32,0.0415,0.7376,-0.6961,0.198417,0.00107484,0.04014545,0.00160208,0.00333123,Severe Detail Loss,0.149253
158,001648.npy,5.402,21.3266,-15.9246,0.0229,0.6404,-0.6175,0.069298,0.00100216,0.56047201,0.00756601,0.0438366,Severe Detail Loss,0.483345
159,001661.npy,4.0411,22.4299,-18.3888,0.0172,0.5577,-0.5405,0.463132,0.00084041,0.22128341,0.01039015,0.00736677,Severe Detail Loss,0.566587
160,001663.npy,4.0252,20.737,-16.7118,0.0174,0.4896,-0.4722,0.466058,0.00092596,0.22043934,0.01037161,0.00732734,Severe Detail Loss,0.567814
161,001678.npy,11.0835,25.6992,-14.6157,0.029,0.5899,-0.5609,0.094371,0.00102096,0.12603772,0.0029065,0.01323672,Severe Detail Loss,0.245857
162,001682.npy,7.5712,24.4202,-16.8491,0.0202,0.7076,-0.6874,0.164216,0.00091635,0.31373268,0.00467211,0.00860414,Severe Detail Loss,0.360754
163,001685.npy,2.8222,20.3371,-17.5149,0.0202,0.2994,-0.2792,0.447867,0.00103798,0.17813584,0.0135832,0.01028219,Severe Detail Loss,0.667991
164,001695.npy,7.6998,23.1439,-15.4442,0.0323,0.6959,-0.6636,0.074171,0.0010581,0.3771607,0.00444947,0.02124475,Severe Detail Loss,0.309324
165,001696.npy,7.7993,24.0144,-16.215,0.0805,0.7779,-0.6974,0.130133,0.00083537,0.18364534,0.00429144,0.01259943,Severe Detail Loss,0.250229
166,001698.npy,14.5278,27.5099,-12.9821,0.0283,0.5649,-0.5367,0.064954,0.00115411,0.05639874,0.00183779,0.0190078,Severe Detail Loss,0.167063
167,001704.npy,5.2674,22.5967,-17.3293,0.0206,0.4683,-0.4477,0.151273,0.000947,0.31975624,0.00798136,0.02032941,Severe Detail Loss,0.490866
168,001707.npy,5.5494,23.0564,-17.507,0.0253,0.3342,-0.3089,0.575805,0.00083204,0.07837266,0.00804148,0.00502752,Severe Detail Loss,0.497498
169,001722.npy,7.5184,23.8638,-16.3454,0.0118,0.6796,-0.6678,0.154715,0.00099542,0.24146414,0.00518354,0.01151636,Severe Detail Loss,0.387353
170,001733.npy,10.5328,26.4194,-15.8866,0.063,0.6625,-0.5995,0.232329,0.00099307,0.05827063,0.00298784,0.0055202,Severe Detail Loss,0.19916
171,001734.npy,13.0739,28.4797,-15.4058,0.0609,0.7052,-0.6442,0.185684,0.00103484,0.04983119,0.00212418,0.00504122,Severe Detail Loss,0.161074
172,001751.npy,3.6547,21.4383,-17.7836,0.011,0.3956,-0.3847,0.223638,0.00087285,0.24760842,0.01164592,0.01947064,Severe Detail Loss,0.625351
173,001757.npy,8.5987,25.8623,-17.2635,0.0306,0.5473,-0.5167,0.452419,0.00091822,0.06109546,0.00420878,0.00365883,Severe Detail Loss,0.332778
174,001759.npy,8.0585,25.0746,-17.0161,0.0298,0.496,-0.4662,0.426466,0.00090902,0.06916569,0.00467002,0.00422265,Severe Detail Loss,0.359296
175,001768.npy,2.6807,20.3594,-17.6786,0.019,0.1826,-0.1636,0.511128,0.000868,0.15616675,0.01444904,0.00967563,Severe Detail Loss,0.724422
176,001787.npy,3.4899,21.8137,-18.3238,0.0123,0.567,-0.5547,0.178786,0.00095812,0.45047319,0.01149691,0.02215551,Severe Detail Loss,0.601747
177,001794.npy,2.7575,18.2281,-15.4706,0.0093,0.322,-0.3127,0.093824,0.00108898,0.60705459,0.01329689,0.06376991,Severe Detail Loss,0.692521
178,001796.npy,15.2484,30.4386,-15.1901,0.0369,0.8225,-0.7857,0.114142,0.00112522,0.09682626,0.00174556,0.00539486,Severe Detail Loss,0.148378
179,001802.npy,8.6927,25.7187,-17.026,0.0432,0.5291,-0.4859,0.333932,0.00086648,0.06149599,0.00402601,0.0045317,Severe Detail Loss,0.30735
180,001806.npy,5.9211,21.5685,-15.6475,0.0128,0.5484,-0.5356,0.168605,0.00093691,0.27441615,0.00708748,0.01491222,Severe Detail Loss,0.464712
181,001819.npy,8.4875,25.5461,-17.0586,0.1834,0.6559,-0.4725,0.271308,0.0009348,0.07545049,0.00427816,0.00807811,Severe Detail Loss,0.269208
182,001843.npy,9.3227,24.9578,-15.6351,0.0317,0.6326,-0.6009,0.180056,0.00097354,0.10093472,0.0035746,0.00735362,Severe Detail Loss,0.267502
183,001853.npy,5.0647,23.0558,-17.991,0.0164,0.4534,-0.437,0.365575,0.00092079,0.15433273,0.00858178,0.00819517,Severe Detail Loss,0.513166
